"213778","occ","","","21888","Anas penelope","species","67686","species not entered","Anas","genus","67686","Pleistocene","","2.588","0.0117","5224"
"213779","occ","","","21888","Aythya ferina","species","83440","species not entered","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5224"
"213780","occ","","","21888","Mergus merganser","species","336064","","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5224"
"213781","occ","","","21888","Mergus serrator","species","83462","","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5224"
"213782","occ","","","21888","Mergus albellus","species","39627","species not entered","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5224"
"213783","occ","","","21888","Milvus migrans","species","191573","species not entered","Milvus","genus","191573","Pleistocene","","2.588","0.0117","5224"
"213784","occ","","","21888","Pandion haliaetus","species","39329","species not entered","Pandion","genus","39329","Pleistocene","","2.588","0.0117","5224"
"213785","occ","","","21888","Numenius arquatus","species","83476","species not entered","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5224"
"213786","occ","","","21888","Numenius arquata","species","83476","species not entered","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5224"
"213787","occ","","","21888","Anas crecca","species","133772","","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5224"
"213795","occ","","","21890","Aquila chrysaetos","species","94489","","Aquila chrysaetos","species","94489","Pleistocene","","2.588","0.0117","5209"
"213817","occ","","","21892","Anas platyrhynchos","species","83434","","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5224"
"213818","occ","","","21892","Grus grus","species","105610","","Grus grus","species","105609","Pleistocene","","2.588","0.0117","5224"
"213870","occ","","","21896","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5227"
"213918","occ","","","21903","Streptopelia sp.","genus","158293","","Streptopelia","genus","158293","Holocene","","0.0117","0","5230"
"213952","occ","","","21907","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5221"
"213992","occ","","","21914","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5213"
"214038","occ","","","21920","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5213"
"214097","occ","","","21930","Aves indet.","class","36616","","Aves","class","36616","Holocene","","0.0117","0","5240"
"214199","occ","","","21953","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5252"
"214202","occ","","","21953","Francolinus sp.","genus","173506","","Francolinus","genus","173506","Pleistocene","","2.588","0.0117","5252"
"214277","occ","","","21970","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","5269"
"214317","occ","","","21973","cf. Struthio sp.","genus","39278","","Struthio","genus","39278","Gelasian","Calabrian","2.588","0.781","4954"
"214330","occ","","","21974","Aves indet.","class","36616","","Aves","class","36616","Pleistocene","","2.588","0.0117","4945"
"216772","occ","","","22041","Struthio sp.","genus","39278","","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"216773","occ","","","22041","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","4478"
"216823","occ","","","22064","Struthio sp.","genus","39278","","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"216824","occ","","","22064","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","4478"
"216842","occ","","","22066","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5321"
"216845","occ","","","22068","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5320"
"216894","occ","","","22073","Francolinus lathami","species","173506","species not entered","Francolinus","genus","173506","Holocene","","0.0117","0","5324"
"216898","occ","","","22074","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5325"
"216899","occ","","","22074","Francolinus sp.","genus","173506","","Francolinus","genus","173506","Pleistocene","Holocene","2.588","0","5325"
"216900","occ","","","22074","Aves indet.","class","36616","","Aves","class","36616","Pleistocene","Holocene","2.588","0","5325"
"216903","occ","","","22074","Caprimulgus sp.","genus","124206","","Caprimulgus","genus","124206","Pleistocene","Holocene","2.588","0","5325"
"216904","occ","","","22074","Columba sp.","genus","39354","","Columba","genus","39354","Pleistocene","Holocene","2.588","0","5325"
"216905","occ","","","22074","Columbidae indet.","family","39353","","Columbidae","family","39353","Pleistocene","Holocene","2.588","0","5325"
"217223","occ","","","22148","Aves indet.","class","36616","","Aves","class","36616","Miocene","Pliocene","23.03","2.588","5283"
"217477","occ","","","22188","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5283"
"217575","occ","","","22219","Pelecaniformes indet.","order","36634","","Pelecaniformes","order","36634","Late Miocene","","11.608","5.333","5419"
"217578","occ","","","22219","Dege hendeyi","species","106250","","Dege hendeyi","species","106250","Late Miocene","","11.608","5.333","5419"
"217596","occ","","","22220","cf. Struthio sp.","genus","39278","","Struthio","genus","39278","Miocene","Pliocene","23.03","2.588","5438"
